day,direction,reason,dte,S0,S1,intrinsic_pnl,net0_10,net1_10,mtm_10,net0_12,net1_12,mtm_12,net0_15,net1_15,mtm_15,net0_20,net1_20,mtm_20
2024-02-20,SHORT,STOP,2,22063.55,22088.55,-7.5,-7.12,-8.64,-1.52,-9.78,-11.19,-1.41,-12.64,-13.86,-1.22,-15.66,-16.63,-0.97
2024-02-20,LONG,STOP,2,22127.9,22102.9,-7.5,-6.44,-7.79,-1.35,-9.09,-10.37,-1.28,-11.94,-13.07,-1.13,-14.96,-15.87,-0.91
2024-02-26,SHORT,STOP,3,22127.85,22152.85,-7.5,-12.0,-9.86,2.14,-14.11,-12.23,1.88,-16.28,-14.71,1.57,-18.52,-17.29,1.22
2024-03-05,SHORT,TARGET,2,22347.15,22297.15,42.5,-8.59,-8.12,0.46,-11.12,-10.71,0.41,-13.79,-13.45,0.34,-16.58,-16.31,0.27
2024-03-11,SHORT,TARGET,3,22465.45,22415.45,42.5,-9.49,-9.16,0.33,-11.89,-11.6,0.29,-14.41,-14.17,0.24,-17.06,-16.87,0.19
2024-03-19,SHORT,TARGET,2,21901.85,21851.85,42.5,-7.92,-7.44,0.48,-10.52,-10.1,0.42,-13.28,-12.93,0.36,-16.18,-15.9,0.28
2024-03-21,LONG,TARGET,0,22005.5,22055.5,42.5,1.79,3.65,1.86,-1.55,0.3,1.85,-5.42,-3.71,1.72,-9.77,-8.33,1.44
2024-03-27,LONG,TARGET,1,22133.25,22183.25,42.5,-3.54,-2.83,0.71,-6.45,-5.78,0.66,-9.67,-9.08,0.59,-13.16,-12.69,0.47
2024-04-03,LONG,TARGET,1,22392.9,22442.9,42.5,-4.42,-3.71,0.71,-7.31,-6.66,0.66,-10.46,-9.89,0.57,-13.82,-13.36,0.45
2024-04-08,LONG,TARGET,4,22591.65,22641.65,42.5,-11.45,-11.27,0.18,-13.53,-13.38,0.15,-15.67,-15.55,0.13,-17.85,-17.76,0.1
2024-04-12,SHORT,STOP,6,22650.7,22675.7,-7.5,-14.08,-15.46,-1.38,-15.88,-17.06,-1.19,-17.73,-18.7,-0.97,-19.64,-20.38,-0.74
2024-04-12,LONG,STOP,6,22689.6,22664.6,-7.5,-13.11,-14.43,-1.32,-14.95,-16.09,-1.14,-16.83,-17.77,-0.94,-18.72,-19.44,-0.72
2024-04-24,LONG,STOP,1,22435.0,22410.0,-7.5,-3.88,-5.06,-1.18,-6.77,-7.97,-1.2,-9.96,-11.08,-1.11,-13.4,-14.34,-0.93
2024-04-25,LONG,TARGET,0,22401.35,22451.35,42.5,1.73,3.55,1.81,-1.55,0.28,1.82,-5.38,-3.67,1.7,-9.71,-8.27,1.44
2024-05-03,SHORT,TARGET,6,22767.7,22717.7,42.5,-13.16,-13.0,0.16,-15.08,-14.95,0.14,-17.07,-16.96,0.11,-19.14,-19.05,0.09
2024-05-07,SHORT,TARGET,2,22412.3,22362.3,42.5,-7.49,-7.01,0.48,-10.11,-9.69,0.43,-12.92,-12.55,0.36,-15.88,-15.6,0.29
2024-05-16,SHORT,TARGET,0,22241.55,22191.55,42.5,1.43,3.43,2.0,-1.97,-0.0,1.97,-5.87,-4.06,1.81,-10.23,-8.72,1.51
2024-05-27,SHORT,STOP,3,22953.25,22978.25,-7.5,-10.62,-12.19,-1.57,-12.89,-14.27,-1.38,-15.26,-16.42,-1.15,-17.72,-18.61,-0.89
2024-05-27,LONG,TARGET,3,23018.8,23068.8,42.5,-11.66,-11.4,0.26,-13.75,-13.53,0.22,-15.88,-15.7,0.18,-18.03,-17.9,0.14
2024-05-29,LONG,STOP,1,22808.05,22783.05,-7.5,-5.93,-3.26,2.67,-8.74,-6.18,2.56,-11.72,-9.44,2.28,-14.84,-12.98,1.86
2024-05-29,SHORT,TARGET,1,22781.3,22731.3,42.5,-6.83,-6.05,0.79,-9.62,-8.93,0.69,-12.55,-11.97,0.58,-15.62,-15.16,0.46
2024-06-11,LONG,TARGET,2,23269.95,23319.95,42.5,-10.44,-10.08,0.36,-12.71,-12.4,0.31,-15.03,-14.78,0.25,-17.4,-17.2,0.19
2024-06-12,LONG,STOP,1,23404.45,23379.45,-7.5,-6.05,-3.44,2.61,-8.84,-6.33,2.5,-11.79,-9.56,2.24,-14.89,-13.07,1.82
2024-06-13,SHORT,HARD_EXIT,0,23400.85,23403.9,-7.5,1.15,0.0,-1.15,-2.12,0.0,2.12,-5.93,0.0,5.93,-10.23,0.0,10.23
2024-06-21,SHORT,TARGET,6,23609.65,23559.65,42.5,-14.01,-13.86,0.15,-15.81,-15.68,0.13,-17.67,-17.57,0.11,-19.6,-19.51,0.08
2024-07-01,LONG,STOP,3,24080.15,24055.15,-7.5,-10.07,-11.43,-1.36,-12.32,-13.54,-1.21,-14.67,-15.69,-1.03,-17.08,-17.89,-0.8
2024-07-10,SHORT,TARGET,1,24369.15,24319.15,42.5,-4.92,-4.15,0.77,-7.76,-7.05,0.71,-10.88,-10.25,0.62,-14.24,-13.74,0.5
2024-07-18,LONG,STOP,0,24637.25,24612.25,-7.5,0.91,1.14,0.24,-2.18,-2.27,-0.09,-5.84,-6.13,-0.3,-10.03,-10.4,-0.37
2024-07-18,SHORT,STOP,0,24551.95,24576.95,-7.5,3.28,4.58,1.3,0.05,0.85,0.8,-3.88,-3.46,0.42,-8.49,-8.32,0.17
2024-07-23,SHORT,TARGET,2,24487.0,24437.0,42.5,-10.67,-10.25,0.42,-12.95,-12.59,0.36,-15.32,-15.02,0.3,-17.76,-17.53,0.23
2024-07-25,LONG,TARGET,0,24274.65,24324.65,42.5,-1.72,0.27,1.99,-5.05,-3.23,1.82,-8.65,-7.08,1.57,-12.47,-11.22,1.25
2024-07-30,LONG,STOP,2,24863.5,24838.5,-7.5,-10.82,-8.59,2.22,-13.02,-11.04,1.98,-15.28,-13.61,1.67,-17.59,-16.28,1.3
2024-07-31,LONG,STOP,1,24923.6,24898.6,-7.5,-8.63,-5.79,2.84,-11.15,-8.58,2.57,-13.77,-11.56,2.2,-16.44,-14.7,1.74
2024-08-07,SHORT,STOP,1,24230.5,24255.5,-7.5,-7.94,-5.12,2.83,-10.59,-7.99,2.6,-13.37,-11.12,2.25,-16.25,-14.45,1.8
2024-08-07,LONG,STOP,1,24303.0,24278.0,-7.5,-6.0,-3.36,2.64,-8.79,-6.25,2.54,-11.75,-9.48,2.27,-14.85,-13.0,1.85
2024-08-20,LONG,HARD_EXIT,2,24695.6,24702.8,-0.2999999999992724,-9.41,-7.42,1.99,-11.78,-10.04,1.73,-14.24,-12.8,1.43,-16.77,-15.67,1.09
2024-08-21,LONG,TARGET,1,24690.35,24740.35,42.5,-5.82,-5.13,0.69,-8.57,-7.94,0.63,-11.53,-11.0,0.54,-14.66,-14.24,0.42
2024-08-26,LONG,TARGET,3,24981.2,25031.2,42.5,-10.62,-10.37,0.25,-12.8,-12.58,0.22,-15.07,-14.89,0.18,-17.39,-17.25,0.14
2024-08-28,SHORT,STOP,1,25023.1,25048.1,-7.5,-5.07,-6.23,-1.16,-7.88,-9.03,-1.15,-10.97,-12.02,-1.04,-14.32,-15.18,-0.86
2024-08-28,LONG,TARGET,1,25026.3,25076.3,42.5,-4.27,-3.49,0.77,-7.09,-6.37,0.72,-10.21,-9.58,0.64,-13.59,-13.08,0.51
2024-08-29,LONG,STOP,0,25098.0,25073.0,-7.5,-0.08,-0.17,-0.09,-3.27,-3.62,-0.35,-6.92,-7.4,-0.48,-10.98,-11.47,-0.49
2024-09-04,LONG,STOP,1,25127.45,25102.45,-7.5,-5.19,-6.29,-1.11,-7.95,-9.04,-1.1,-10.96,-11.96,-1.0,-14.19,-15.02,-0.83
2024-09-04,SHORT,STOP,1,25107.6,25132.6,-7.5,-5.71,-7.03,-1.32,-8.52,-9.79,-1.27,-11.56,-12.69,-1.13,-14.81,-15.72,-0.91
2024-09-05,SHORT,TARGET,0,25210.75,25160.75,42.5,0.46,2.25,1.79,-2.67,-0.86,1.82,-6.35,-4.64,1.71,-10.55,-9.09,1.46
2024-09-06,SHORT,TARGET,6,24994.9,24944.9,42.5,-15.39,-15.25,0.13,-16.99,-16.88,0.11,-18.64,-18.55,0.09,-20.33,-20.26,0.07
2024-09-10,SHORT,STOP,2,24921.1,24946.1,-7.5,-8.45,-9.83,-1.38,-10.95,-12.21,-1.26,-13.61,-14.7,-1.09,-16.42,-17.27,-0.86
2024-09-10,LONG,TARGET,2,24994.2,25044.2,42.5,-8.79,-8.36,0.43,-11.23,-10.85,0.38,-13.78,-13.47,0.32,-16.42,-16.18,0.24
2024-09-16,LONG,STOP,3,25417.2,25392.2,-7.5,-13.16,-11.25,1.91,-15.02,-13.36,1.66,-16.92,-15.54,1.38,-18.82,-17.76,1.06
2024-09-16,SHORT,STOP,3,25378.85,25403.85,-7.5,-13.28,-11.29,1.99,-15.2,-13.47,1.73,-17.17,-15.73,1.44,-19.19,-18.08,1.11
