n,wr,pf,total,avg,sharpe,n1,wr1,sh1,n2,wr2,sh2,signals,vehicle,side,passed
40,55.0,1.4,45.0,1.13,2.15,21,57.1,3.29,19,52.6,1.61,g50_18_1000,trail_8_4,PE,True
39,51.3,1.36,50.0,1.28,2.14,20,55.0,4.0,19,47.4,0.52,g62_30_1000,mtm_12_8,PE,True
39,51.3,1.36,50.0,1.28,2.14,20,55.0,4.0,19,47.4,0.52,g62_35_1000,mtm_12_8,PE,True
39,51.3,1.36,50.0,1.28,2.14,20,55.0,4.0,19,47.4,0.52,g65_30_1000,mtm_12_8,PE,True
39,51.3,1.36,50.0,1.28,2.14,20,55.0,4.0,19,47.4,0.52,g65_35_1000,mtm_12_8,PE,True
40,57.5,1.4,44.7,1.12,2.14,20,65.0,5.31,20,50.0,0.76,g55_22_1000,trail_8_4,PE,True
48,58.3,1.37,51.4,1.07,2.12,24,54.2,0.26,24,62.5,3.76,g58_25_1015,trail_6_3,PE,True
48,58.3,1.37,51.4,1.07,2.12,24,54.2,0.26,24,62.5,3.76,g58_28_1015,trail_6_3,PE,True
36,52.8,1.37,43.4,1.21,2.11,18,55.6,4.17,18,50.0,0.45,g58_22_1000,mtm_12_8,PE,True
36,52.8,1.37,43.4,1.21,2.11,18,55.6,4.17,18,50.0,0.45,g60_22_1000,mtm_12_8,PE,True
39,53.8,1.33,39.7,1.02,2.11,20,60.0,5.4,19,47.4,-1.35,g62_30_1000,mtm_8_6,PE,True
39,53.8,1.33,39.7,1.02,2.11,20,60.0,5.4,19,47.4,-1.35,g62_35_1000,mtm_8_6,PE,True
39,53.8,1.33,39.7,1.02,2.11,20,60.0,5.4,19,47.4,-1.35,g65_30_1000,mtm_8_6,PE,True
39,53.8,1.33,39.7,1.02,2.11,20,60.0,5.4,19,47.4,-1.35,g65_35_1000,mtm_8_6,PE,True
44,56.8,1.4,53.1,1.21,2.08,22,63.6,3.37,22,50.0,1.66,g55_30_1000,trail_8_5,PE,True
44,56.8,1.4,53.1,1.21,2.08,22,63.6,3.37,22,50.0,1.66,g55_35_1000,trail_8_5,PE,True
35,51.4,1.35,41.7,1.19,2.05,18,55.6,4.17,17,47.1,0.32,g62_22_1000,mtm_12_8,PE,True
35,51.4,1.35,41.7,1.19,2.05,18,55.6,4.17,17,47.1,0.32,g65_22_1000,mtm_12_8,PE,True
47,57.4,1.35,49.1,1.04,2.05,23,52.2,0.07,24,62.5,3.76,g60_30_1015,trail_6_3,PE,True
47,57.4,1.35,49.1,1.04,2.05,23,52.2,0.07,24,62.5,3.76,g60_35_1015,trail_6_3,PE,True
46,56.5,1.35,48.5,1.05,2.04,23,52.2,0.07,23,60.9,3.79,g62_30_1015,trail_6_3,PE,True
46,56.5,1.35,48.5,1.05,2.04,23,52.2,0.07,23,60.9,3.79,g62_35_1015,trail_6_3,PE,True
46,56.5,1.35,48.5,1.05,2.04,23,52.2,0.07,23,60.9,3.79,g65_30_1015,trail_6_3,PE,True
46,56.5,1.35,48.5,1.05,2.04,23,52.2,0.07,23,60.9,3.79,g65_35_1015,trail_6_3,PE,True
40,50.0,1.63,87.4,2.18,3.06,20,50.0,4.45,20,50.0,1.58,g58_30_1000,mtm_16_8,PE,False
40,50.0,1.63,87.4,2.18,3.06,20,50.0,4.45,20,50.0,1.58,g58_35_1000,mtm_16_8,PE,False
40,50.0,1.63,87.4,2.18,3.06,20,50.0,4.45,20,50.0,1.58,g60_30_1000,mtm_16_8,PE,False
40,50.0,1.63,87.4,2.18,3.06,20,50.0,4.45,20,50.0,1.58,g60_35_1000,mtm_16_8,PE,False
39,48.7,1.61,85.7,2.2,3.04,20,50.0,4.45,19,47.4,1.5,g62_30_1000,mtm_16_8,PE,False
39,48.7,1.61,85.7,2.2,3.04,20,50.0,4.45,19,47.4,1.5,g62_35_1000,mtm_16_8,PE,False
39,48.7,1.61,85.7,2.2,3.04,20,50.0,4.45,19,47.4,1.5,g65_30_1000,mtm_16_8,PE,False
39,48.7,1.61,85.7,2.2,3.04,20,50.0,4.45,19,47.4,1.5,g65_35_1000,mtm_16_8,PE,False
42,50.0,1.57,83.8,2.0,2.83,22,54.5,4.7,20,45.0,0.83,g62_x_1000,mtm_16_8,PE,False
42,50.0,1.57,83.8,2.0,2.83,22,54.5,4.7,20,45.0,0.83,g65_x_1000,mtm_16_8,PE,False
